auteur,date_exacte,age,message
Huy Phan Anh Ha,2025-12-04 07:52:49 -0500,il y a 1 jours,"chess backend fix"
Huy Phan Anh Ha,2025-12-03 08:00:16 -0500,il y a 2 jours,"usesearch param fix 1"
Huy Phan Anh Ha,2025-12-03 07:54:27 -0500,il y a 2 jours,"Enhance game logic with betting features and player management"
Huy Phan Anh Ha,2025-11-23 05:41:16 -0500,il y a 12 jours,"Add tank stats and update cashout logic for tank survival game"
Huy Phan Anh Ha,2025-11-20 15:56:51 -0500,il y a 14 jours,"cashout api remake"
Huy Phan Anh Ha,2025-11-20 15:20:24 -0500,il y a 14 jours,"added multiplayer to tanks 1"
Huy Phan Anh Ha,2025-11-19 07:28:09 -0500,il y a 16 jours,"Merge branch 'main' of https://github.com/Hahuyphananh/Casino-app"
Huy Phan Anh Ha,2025-11-19 07:28:05 -0500,il y a 16 jours,"Bullet logic changes"
Huy Phan Anh Ha,2025-11-18 21:59:11 -0500,il y a 16 jours,"Merge pull request #9 from Hahuyphananh/dependabot/npm_and_yarn/next-auth-4.24.12"
dependabot[bot],2025-11-19 02:57:17 +0000,il y a 16 jours,"Bump next-auth from 4.24.11 to 4.24.12"
Huy Phan Anh Ha,2025-11-18 21:54:17 -0500,il y a 16 jours,"cashout logic fixed tanks"
Huy Phan Anh Ha,2025-11-16 16:16:29 -0500,il y a 18 jours,"vercel deployment fix 2"
Huy Phan Anh Ha,2025-11-16 16:01:09 -0500,il y a 18 jours,"vercel deployment fix 1"
Huy Phan Anh Ha,2025-11-16 15:55:36 -0500,il y a 18 jours,"Tank update 2"
Huy Phan Anh Ha,2025-11-16 14:33:43 -0500,il y a 18 jours,"cashout button on tanks game"
Huy Phan Anh Ha,2025-11-16 11:55:13 -0500,il y a 18 jours,"Tank game creation"
Huy Phan Anh Ha,2025-11-15 22:11:53 -0500,il y a 19 jours,"test vercel deployment"
Huy Phan Anh Ha,2025-11-11 22:09:29 -0500,il y a 23 jours,"Refactor code structure for improved readability and maintainability"
Huy Phan Anh Ha,2025-11-10 13:05:53 -0500,il y a 24 jours,"Rankings page rework"
Huy Phan Anh Ha,2025-11-09 21:28:57 -0500,il y a 25 jours,"Enhance UI with animations and improved button styles for casino page"
Huy Phan Anh Ha,2025-11-09 18:59:02 -0500,il y a 25 jours,"Add join game form and enhance UI elements for poker page"
Huy Phan Anh Ha,2025-11-08 21:47:36 -0500,il y a 26 jours,"Refactor public game joining logic and add public games count API"
Huy Phan Anh Ha,2025-11-07 16:13:14 -0500,il y a 27 jours,"poker logic and design changes"
Huy Phan Anh Ha,2025-11-05 07:44:50 -0500,il y a 1 mois,"poker major design change"
Huy Phan Anh Ha,2025-10-29 21:54:15 -0400,il y a 1 mois,"finished adding each game into the db and displaying them on the profile page."
Huy Phan Anh Ha,2025-10-26 21:57:17 -0400,il y a 1 mois,"Add coin flip game result recording and update bet history retrieval to include keno and coin flip and mines games"
Huy Phan Anh Ha,2025-10-24 16:28:06 -0400,il y a 1 mois,"Add slot game and plinko game saving functionality; update schemas and API routes"
Huy Phan Anh Ha,2025-10-24 07:19:12 -0400,il y a 1 mois,"Added game result for roulette"
Huy Phan Anh Ha,2025-10-19 21:55:01 -0400,il y a 1 mois,"Add game result and status fields to crash, mines, plinko, and coin flip game schemas; update profile page to display token differences for bets"
Huy Phan Anh Ha,2025-10-19 11:43:44 -0400,il y a 1 mois,"updated profile page to show betting history, still needs the results to show"
Huy Phan Anh Ha,2025-10-19 11:07:34 -0400,il y a 1 mois,"upgraded blackjack design"
Huy Phan Anh Ha,2025-10-13 21:47:26 -0400,il y a 1 mois,"modified sports api"
Huy Phan Anh Ha,2025-10-13 19:28:38 -0400,il y a 1 mois,"improved UI animations in Poker game"
Huy Phan Anh Ha,2025-10-11 17:16:24 -0400,il y a 1 mois,"fixed plinko animation"
Huy Phan Anh Ha,2025-10-08 22:24:56 -0400,il y a 1 mois,"modified poker game fold action and design changes"
Huy Phan Anh Ha,2025-10-06 12:26:32 -0400,il y a 1 mois," implement AI game creation and matchmaking logic for multiplayer chess part 1"
Huy Phan Anh Ha,2025-10-05 14:16:22 -0400,il y a 2 mois,"Fixed the hands poker game"
Huy Phan Anh Ha,2025-10-02 21:57:08 -0400,il y a 2 mois,"modified waiting screen uno"
Huy Phan Anh Ha,2025-10-02 07:51:48 -0400,il y a 2 mois,"refactor: improve uno game join functionality and schema defaults"
Huy Phan Anh Ha,2025-09-30 22:03:49 -0400,il y a 2 mois,"added a join-online route to my uno page, still need some work"
Huy Phan Anh Ha,2025-09-29 22:12:43 -0400,il y a 2 mois,"changed blackjack design"
Huy Phan Anh Ha,2025-09-27 17:42:11 -0400,il y a 2 mois,"added history arrows in the uno game"
Huy Phan Anh Ha,2025-09-26 21:41:41 -0400,il y a 2 mois,"changed uno design and fiexed skip and reverse"
Huy Phan Anh Ha,2025-09-25 21:57:23 -0400,il y a 2 mois,"modified the name and added a join public game"
Huy Phan Anh Ha,2025-09-24 07:28:24 -0400,il y a 2 mois,"added a toggle for private and public games"
Huy Phan Anh Ha,2025-09-19 10:23:15 -0400,il y a 2 mois,"added commiy history"
Huy Phan Anh Ha,2025-09-19 10:22:05 -0400,il y a 2 mois,"Added start game button and reworked fold logic."
Huy Phan Anh Ha,2025-09-16 22:26:59 -0400,il y a 2 mois,"Added joined player into the db"
Huy Phan Anh Ha,2025-09-16 14:00:08 -0400,il y a 2 mois,"Merge pull request #7 from Hahuyphananh/dependabot/npm_and_yarn/multi-c22e25d29b"
Huy Phan Anh Ha,2025-09-16 13:59:15 -0400,il y a 2 mois,"Update README.md"
dependabot[bot],2025-09-16 17:58:11 +0000,il y a 2 mois,"Bump brace-expansion"
Huy Phan Anh Ha,2025-09-16 13:56:29 -0400,il y a 2 mois,"Merge pull request #5 from Hahuyphananh/dependabot/npm_and_yarn/next-15.5.3"
Huy Phan Anh Ha,2025-09-16 13:56:04 -0400,il y a 2 mois,"Merge pull request #4 from Hahuyphananh/dependabot/npm_and_yarn/clerk/nextjs-6.23.3"
Huy Phan Anh Ha,2025-09-16 13:55:38 -0400,il y a 2 mois,"Create SECURITY.md"
dependabot[bot],2025-09-16 17:51:12 +0000,il y a 2 mois,"Bump next from 15.3.1 to 15.5.3"
dependabot[bot],2025-09-16 17:50:48 +0000,il y a 2 mois,"Bump @clerk/nextjs from 6.16.0 to 6.23.3"
Huy Phan Anh Ha,2025-09-16 13:49:58 -0400,il y a 2 mois,"Merge pull request #3 from Hahuyphananh/dependabot/npm_and_yarn/axios-1.12.0"
dependabot[bot],2025-09-16 17:49:51 +0000,il y a 2 mois,"Bump axios from 1.10.0 to 1.12.0"
Huy Phan Anh Ha,2025-09-16 13:48:29 -0400,il y a 2 mois,"Merge pull request #2 from Hahuyphananh/dependabot/npm_and_yarn/multi-db8cb72d49"
dependabot[bot],2025-09-16 17:45:30 +0000,il y a 2 mois,"Bump form-data"
Huy Phan Anh Ha,2025-09-14 21:54:50 -0400,il y a 2 mois,"added player info into the database poker"
Huy Phan Anh Ha,2025-09-14 18:26:14 -0400,il y a 2 mois,"fixed the join game error, there is still progress to be made"
Huy Phan Anh Ha,2025-09-13 10:03:52 -0400,il y a 2 mois,"join game try 2"
Huy Phan Anh Ha,2025-09-12 20:29:22 -0400,il y a 2 mois,"join game try 1"
Huy Phan Anh Ha,2025-09-12 20:23:00 -0400,il y a 2 mois,"invite code try 4"
Huy Phan Anh Ha,2025-09-12 19:54:00 -0400,il y a 2 mois,"invite link third try"
Huy Phan Anh Ha,2025-09-12 18:25:19 -0400,il y a 2 mois,"modified sign in page"
Huy Phan Anh Ha,2025-09-12 18:07:35 -0400,il y a 2 mois,"invite link 2nd try"
Huy Phan Anh Ha,2025-09-12 17:35:42 -0400,il y a 2 mois,"invite link added 1st try"
Huy Phan Anh Ha,2025-09-12 08:19:01 -0400,il y a 2 mois,"corrected card colors"
Huy Phan Anh Ha,2025-09-09 21:55:58 -0400,il y a 2 mois,"balance changes 2"
Huy Phan Anh Ha,2025-09-09 14:08:09 -0400,il y a 2 mois,"balance changes added"
